review,value,sentiment,prediction
The lack of streamlining ie why are there so many narrative threads paves the way for an uninvolving midsection,0,0.9993762373924255,NEGATIVE
It really hit all the points The action emotion and story were all great The backstory of Rocket was the highlight for me,1,0.9961923360824585,POSITIVE
I liked this better than the previous entry in the series It was a heartfelt film but didnt really wrap up storylines the way the trailers implied,1,0.6351512670516968,POSITIVE
This is filmmaking that paints by numbers and with Key Performance Indicators in mind,0,0.9994860887527466,POSITIVE
Vol 3 is undoubtedly one of the most ambitious MCU films in both scope and narrative reach,1,0.9998873472213745,POSITIVE
Its been a while since we had something in this genre that really did this kind of narrative heavy lifting rather than just playing in the sandbox that we know and love and are fine with just hanging out for a little while in,1,0.8900834321975708,POSITIVE
Its wild tonal swings and penchant for undercutting dramatic beats with poorly timed levity aside Guardians of the Galaxy Vol 3 is a mostly satisfying adventure and conclusion to arguably the MCUs most unlikely trilogy,1,0.9983653426170349,POSITIVE
Bradley Coopers voice work has always been sharp but he gets more to do here than in the first two films Theres a whole piece of steak for his lovable space warrior to chew on here,1,0.9997765421867371,POSITIVE
Hooked on a feeling and that feeling is emotional damage,1,0.5131560564041138,POSITIVE
Apart from everyone just yelling at one another there is nexttonothing to care about in the present or for the future of the characters in this thinly stretched humorstarved attempt at closure,0,0.9984946250915527,NEGATIVE
In the heart of one of the most carefully micromanaged corporatised franchises in contemporary media the Marvel Cinematic Universe Gunn and company have managed to make three consecutive films that feel earnestly personal,1,0.9999563694000244,POSITIVE
Guardians of the Galaxy Vol 3 is a FANTASTIC send off to one of the MCUs best trilogies The Rocketcentric story hits every target it aims for in your heart The themes of friendship family and sacrifice shine brightly even amidst the stunning visuals,1,0.9998117089271545,POSITIVE
Theres a lot of tough love on display due to the fallout of everyone being a raw nerve They wont all remember what was spoken but those who must remember will That goes for us too since this trilogy capper is as much a beginning as it is an ending,1,0.9849521517753601,POSITIVE
Lacks the humor and the heart of the first two,0,0.9991514682769775,NEGATIVE
Remarkably given the studio brand this is absolutely Gunns movie Its cheerfully gross frequently hideous to behold nakedly emotional indulgent to the point of bloat in its desire to tie off every narrative threadand happily its own thing,1,0.9617964625358582,NEGATIVE
An immensely satisfying send off to James Gunns Guardians,1,0.9993859529495239,POSITIVE
The animals are cute but the action is predictable and inconsequential as the Marvel Universe struggles to find a footing into the realm originality as it enters 30 films,0,0.9994686245918274,NEGATIVE
Its not perfect but for big dumb MCU fun the Guardians still deliver,1,0.9927158951759338,NEGATIVE
Guardians of the Galaxy Vol 3 is going to have the same effect on todays kids that Indiana Jones and the Temple of Doom had on kids in the 80s and I mean that as the highest compliment,1,0.9995843768119812,POSITIVE
Flirts with being interesting but I checked out after the 90 minute mark with nearly an hour to go,0,0.8324258923530579,NEGATIVE
The first strong effort from Marvel in a while as the Rocket story drives the plot and attaches real stakes in a way these film usually dont,1,0.9830313920974731,POSITIVE
Guardians of the Galaxy Vol 3 is another stylish laughoutloud offbeat and most of all Awesome Mix of being something beautifully human and alien at the same time,1,0.9993243217468262,POSITIVE
Guardians of the Galaxy Vol 3 is a tailorfitted exit for James Gunn from Marvels Cinematic Universe  the Gunniest Guardians yet in the best way,1,0.9759171605110168,POSITIVE
Gunn says goodbye to Marvel Studios in style leaving his wake in the genre and giving us a valuable personal lesson that we must never forget we all deserve a second chance,1,0.5191270112991333,POSITIVE
Tearfully moving with bonkers humor Guardians of the Galaxy Vol 3 gives the worlds most bad ass trash panda from space the most meaningful film in a trilogy overrun with super heroic and perfection obsessed aholes,1,0.9996907711029053,POSITIVE
While better than most recent Marvel or DC films it definitely lacks the fun buddyfilm aspects and sincere relationships of the original in lieu of an exhausting missionbased story,0,0.9313181638717651,NEGATIVE
Completes Rocket transformation from a footnote to one of Marvel greatest characters,1,0.9997125267982483,POSITIVE
Guardians of the Galaxy Vol 3 was surprisingly emotional and has some nice finality for James Gunn,1,0.9976708292961121,POSITIVE
Too often it feels like James Gunn made a playlist of songs he likes and then came up with scenes to go with them,0,0.9987196922302246,NEGATIVE
If this is the last episode of the series could that really be true its done with great care and concern Director James Gunn knows how to fire up the faithful Now he just needs to point out who they are,1,0.9909866452217102,POSITIVE
The heart and soul of Guardians has always been the camaraderie of the cast,1,0.9992695450782776,POSITIVE
What if the real raccoons are the friends we made along the way,1,0.944495439529419,NEGATIVE
Guardians of the Galaxy Vol 3 is the perfect conclusion to this group of superheroes who take ass and kick names A heartfelt farewell to the most grounded and memorable family in film,1,0.9999790191650391,POSITIVE
having this motley crew back together one more time has deepened their ties softened their tough exteriors and created playful exchanges that enhance what is a dense and convoluted story,1,0.9997523427009583,POSITIVE
A joyous sweetheart of a movie even better is that it plays like a movie not a Marvel product Whats it about Raccoons and kindness And gleefully bad gags Gunns sheer competence soars alongside his customary monumental goofiness,1,0.9950703382492065,POSITIVE
Guardians 3 is a real warm and fuzzy movie that sometimes makes you forget that youre a bit bored with the onslaught of superhero movies,1,0.9990967512130737,POSITIVE
A goofy and incohesive adventure tale of an intergalactic band of artificially created misfits,0,0.8900490999221802,POSITIVE
Chukwudi Iwuji as The High Evolutionary commands the screen and upstages everyone on it each and every time he appears with mad scientist vibes disguised as compassion making him more than compelling to watch Oh yeaH That soundtrack is absolute fire,1,0.9777480363845825,POSITIVE
Rocket is already my favorite Guardian so now to see how he became who he became  its heartbreaking,1,0.995915949344635,POSITIVE
If youre looking for a way to conclude your relationship with Marvels most vibrant characters this is it Given signs of diminishing returns here its also a good example of quitting while youre ahead,1,0.997003972530365,NEGATIVE
